Last name,First name,Birth year,Death year,Genre,Nationality,Gender
Lassus,Orlande de,1532,1594,Renaissance,Flemish (Belgian),Male
Luzzaschi,Luzzasco,1545,1607,Renaissance,Italian,Male
Mahler,Gustav,1860,1911,Romantic,Austro-Bohemian,Male
Malats,Joaquín,1872,1912,Romantic,Spanish,Male
Marais,Marin,1656,1728,Baroque,French,Male
Marcello,Alessandro Ignazio,1673,1747,Baroque,Italian,Male
Massenet,Jules,1842,1912,Romantic,French,Male
Medtner,Nikolai,1879,1951,Romantic,Russian,Male
Mendelssohn,Felix,1809,1847,Romantic,German,Male
Mendelssohn Bartholdy,Albrecht,1874,1936,Romantic,German,Male
Meude-Monpas,Chevalier de,?,?,Classical,French,Male
Mazzoli,Missy,1980,Still living,Modern,American,Female
Mertz,Joseph Kaspar,1806,1856,Romantic,Austrian-Hungarian,Male
Merulo,Claudio,1533,1604,Renaissance,Italian,Male
Messiaen,Olivier Eugène Prosper Charles,1908,1992,Modern,French,Male
Moby,,1965,Still living,Dance,American,Male
Molter,Johann Melchior,1696,1765,Baroque,German,Male
Moniuszko,Stanisław,1819,1872,Romantic,Polish,Male
Monn,Georg Matthias,1717,1750,Baroque,Austrian,Male
Monteverdi,Claudio Giovanni Antonio,1567,1643,Baroque,Italian,Male
Mozart,Johann Georg Leopold,1719,1787,Classical,German,Male
Mozart,Wolfgang Amadeus,1756,1791,Classical,Austrian,Male
Muffat,Georg,1653,1704,Baroque,French,Male
Muhly,Nico,1981,Still living,Modern,American,Male
Murcia,Santiago de,1673,1739,Baroque,Spanish,Male
Mussorgsky,Modest Petrovich,1839,1881,Romantic,Russian,Male
Myaskovsky,Nikolai,1881,1950,Modern,Russian,Male
Mysliveček,Josef,1737,1781,Classical,Czech,Male
Nielsen,Carl August,1865,1931,Romantic,Danish,Male
Obel,Agnes,1980,Still living,Modern,Danish,Female
Obrecht,Jacob,1457,1505,Renaissance,Flemish (Belgian),Male
Offenbach,Jacques,1819,1880,Romantic,German-French,Male
O'Halloran,Dustin,1971,Still living,Modern,American,Male
Pachelbel,Johann,1653,1706,Baroque,German,Male
Padding,Martijn,1956,Still living,Modern,Dutch,Male
Paganini,Niccolò,1782,1840,Romantic,Italian,Male
Paradis,Maria Theresia von,1759,1824,Classical,Austrian,Female
Pärt,Arvo,1935,Still living,Modern,Estonian,Male
Pearsall,Robert Lucas de,1795,1856,Romantic,English,Male
Perkinson,Coleridge-Taylor,1932,2004,Modern,American,Male
Pérotin,,,1238?,Medieval,French,Male
Picchi,Giovanni,1571,1643,Baroque,Italian,Male
Pla,Joan Baptista,1720,1773,Baroque,Spanish,Male
Pla,Josep,1728,1762,Baroque,Spanish,Male
Pla,Manuel,1725,1766,Baroque,Spanish,Male
Pleyel,Ignace Joseph,1757,1831,Classical,Austrian,Male
Ponce,Manuel,1882,1948,Modern,Mexican,Male
Poot,Marcel,1901,1988,Modern,Belgian,Male
Poulenc,Francis,1899,1963,Modern,French,Male
Praetorius,Michael,1571,1621,Baroque,German,Male
Prokofiev,Sergey,1891,1953,Modern,Russian,Male
Price,Florence Beatrice,1887,1953,Modern,American,Female
Puccini,Giacomo,1858,1924,Romantic,Italian,Male
Purcell,Henry,1659,1695,Baroque,English,Male
Quilter,Roger,1877,1953,Modern,English,Male
Rachmaninoff,Sergei Vasilyevich,1873,1943,Romantic,Russian,Male
Rameau,Jean-Philippe,1684,1764,Baroque,French,Male
Ravel,Maurice,1875,1937,Modern,French,Male
Rebel,Jean-Féry,1666,1747,Baroque,French,Male
Reed,Lou (Lewis Allan),1942,2013,Rock,United States,Male
Reich,Steve (Stephen Michael),1936,Still living,Minimalism,United States,Male
Reicha,Anton,1770,1836,Classical,Czech-French,Male
Reimann,Aribert,1936,Still living,Modern,German,Male
Reinecke,Carl,1824,1910,Romantic,German,Male
Respighi,Ottorino,1879,1936,Modern,Italian,Male
Reutter,Hermann,1900,1985,Modern,German,Male
Reutter,Johann Georg,1708,1772,Classical,Austrian,Male
Richter,Franz Xaver,1709,1789,Classical,Austrian,Male
Rimsky-Korsakov,Nikolai Andreyevich,1844,1908,Romantic,Russian,Male
Rittler,Philipp Jakob,c1637,1690,Baroque,Austrian,Male
Rode,Pierre,1774,1830,Romantic,French,Male
Rodrigo,Joaquín,1901,1999,Modern,Spanish,Male
Rosetti,Francesco Antonio,1750,1792,Classical,Bohemian (Czech Republic),Male
Rossi,Luigi,1597,1653,Baroque,Italian,Male
Rossini,Gioachino Antonio,1792,1868,Bel canto,Italian,Male
Roussel,Albert,1869,1937,Modern,French,Male
Ruiz-Pipó,Antonio,1934,1997,Modern,Spanish,Male
Saint-Saëns,Charles-Camille,1835,1921,Romantic,French,Male
Sainz de la Maza,Eduardo,1903,1982,Modern,Spanish,Male
Sainz de la Maza,Regino,1896,1981,Modern,Spanish,Male
Salieri,Antonio,1750,1825,Classical,Italian,Male
Sammartini,Giovani Battista,1700,1775,Classical,Italian,Male
Sances,Giovanni Felice,1600,1679,Baroque,Italian,Male
Satie,Erik,1866,1925,Modern,French,Male
Scarlatti,Alessandro,1660,1725,Baroque,Italian,Male
Scarlatti,Domenico,1685,1757,Baroque,Italian,Male
Scheidt,Samuel,1587,1654,Baroque,German,Male
Schein,Johann Hermann,1586,1630,Baroque,German,Male
Schenk,Johann Baptist,1753,1836,Classical,Austrian,Male
Schoenberg,Arnold,1874,1951,Modern,Austrian-American,Male
Scriabin,Alexander,1871,1915,Modern,Russian,Male
